,track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,mood
449,2l7JlYeniNFfIzfj3dOUjb,Body,Julia Jacklin,0.806,0.169,9,-12.008,0,0.0359,0.69,0.014,0.111,0.0841,84.98,spotify:track:2l7JlYeniNFfIzfj3dOUjb,307613,4,sad
450,4foKnVvnAHmQYbONUcbgkK,untitled,Rachael Jenkins,0.372,0.237,1,-13.404,1,0.0369,0.938,0.425,0.103,0.0966,119.436,spotify:track:4foKnVvnAHmQYbONUcbgkK,225640,4,sad
451,5mgWktGBliaIdAaBtZ8ff3,damn,Ada Lea,0.687,0.457,8,-8.896,0,0.0494,0.538,0.000946,0.197,0.599,142.13,spotify:track:5mgWktGBliaIdAaBtZ8ff3,261173,4,sad
452,0HVxfx5x8dZSTaK7EnIByn,Swimming,Maple Glider,0.715,0.432,9,-6.769,1,0.0275,0.724,0.000109,0.164,0.175,109.927,spotify:track:0HVxfx5x8dZSTaK7EnIByn,252413,4,sad
453,7IaZ2WDYVYi0OImUNQm6Vl,Eat The Acid,Kesha,0.252,0.538,0,-5.806,0,0.0349,0.268,0.00872,0.326,0.102,175.298,spotify:track:7IaZ2WDYVYi0OImUNQm6Vl,242240,4,sad
454,5rm0BXilbprpZiBFFJgiFu,Tarifa,Sharon Van Etten,0.314,0.328,0,-9.152,1,0.028,0.252,0.000334,0.0871,0.103,74.34,spotify:track:5rm0BXilbprpZiBFFJgiFu,290613,4,sad
455,3tML0isKJJ3DJUQKcm3L0e,The Man Who Sees Tomorrow,Uwade,0.257,0.213,11,-11.787,1,0.0364,0.77,0.0,0.363,0.209,55.309,spotify:track:3tML0isKJJ3DJUQKcm3L0e,211733,3,sad
456,6fFMXz0mLLaql9UyyBQB9a,Just to Hear You (feat. Perfume Genius),Hand Habits,0.756,0.367,2,-10.849,1,0.0397,0.582,0.19,0.106,0.523,127.894,spotify:track:6fFMXz0mLLaql9UyyBQB9a,173303,4,sad
457,0q0Vlb5g3DV8pysqIllbiR,Everything Everything,Indigo Sparke,0.5,0.171,9,-16.361,0,0.035,0.987,0.503,0.0997,0.16,119.255,spotify:track:0q0Vlb5g3DV8pysqIllbiR,206951,3,sad
458,1I5XT1jCeaxVJXJ4mQ9INX,You At The Table (with Manchester Orchestra),Joy Oladokun,0.595,0.727,2,-8.832,1,0.0493,0.198,1.13e-06,0.329,0.267,120.107,spotify:track:1I5XT1jCeaxVJXJ4mQ9INX,230744,4,sad
459,0EgDkAi1hzNK3D3DjWs4bL,I'm Afraid I Love You,Adam Melchor,0.48,0.304,6,-11.301,1,0.0373,0.849,0.00102,0.099,0.247,77.367,spotify:track:0EgDkAi1hzNK3D3DjWs4bL,158107,4,sad
460,6KHJTplNOsm1hVGzCCPZ7m,Silk,Giselle,0.645,0.264,5,-12.706,1,0.0408,0.941,0.0053,0.106,0.0473,81.959,spotify:track:6KHJTplNOsm1hVGzCCPZ7m,192000,4,sad
461,38Wlgvbw9rM2cm5ZQjMUl5,This Is What You Did,This Is The Kit,0.618,0.807,7,-8.924,1,0.0667,0.75,0.526,0.101,0.434,134.708,spotify:track:38Wlgvbw9rM2cm5ZQjMUl5,192981,4,sad
462,0VDMM80RCPz0ws1514vQ0S,Blue,Laura Elliott,0.602,0.246,2,-13.425,1,0.0276,0.104,1.23e-06,0.109,0.323,138.889,spotify:track:0VDMM80RCPz0ws1514vQ0S,252292,4,sad
463,1Z8ILAI5cuxguldwB2KsdB,Vessel,Patricia Lalor,0.532,0.281,5,-10.604,1,0.0284,0.754,0.000313,0.0824,0.138,105.077,spotify:track:1Z8ILAI5cuxguldwB2KsdB,208242,4,sad
464,30v4EAWXc18jR8INUfl5yI,Seventeen Again (feat. Novo Amor),Charli Adams,0.335,0.283,3,-10.902,1,0.0297,0.635,0.0,0.111,0.0969,141.44,spotify:track:30v4EAWXc18jR8INUfl5yI,204520,3,sad
465,0Yl3Jh6DYFcAbT9HlnIAmh,Henry St.,The Tallest Man On Earth,0.476,0.0954,7,-12.511,1,0.0666,0.987,8.79e-06,0.175,0.278,94.407,spotify:track:0Yl3Jh6DYFcAbT9HlnIAmh,269467,3,sad
466,4aX4dqpYXTxRMTcjekxPyp,Wild Turkey,Amythyst Kiah,0.584,0.275,6,-11.356,1,0.0292,0.795,5.01e-05,0.0924,0.266,103.088,spotify:track:4aX4dqpYXTxRMTcjekxPyp,272080,4,sad
467,6SxCb6DNwXShYd6F2KcyBE,Mortals,Tommy Lefroy,0.357,0.165,8,-11.895,1,0.0325,0.767,6.39e-06,0.108,0.0554,99.512,spotify:track:6SxCb6DNwXShYd6F2KcyBE,188616,5,sad
468,7aEiyMXBfAvmeRYFz9mOwi,Would You Mind Please Pulling Me Close?,Tasha,0.594,0.243,5,-12.017,1,0.0248,0.876,0.0442,0.11,0.249,75.007,spotify:track:7aEiyMXBfAvmeRYFz9mOwi,243925,3,sad
469,2HJfsvk8GKk6qCGLG8cMCA,Buzz,Maddie Medley,0.51,0.385,8,-8.546,1,0.0298,0.312,0.0369,0.108,0.115,173.945,spotify:track:2HJfsvk8GKk6qCGLG8cMCA,261476,4,sad
470,2zWAa5XkVa1yg756YauQHF,Stop Your Tears,Aldous Harding,0.449,0.125,10,-13.221,0,0.0336,0.837,1.08e-05,0.107,0.219,127.699,spotify:track:2zWAa5XkVa1yg756YauQHF,338640,4,sad
471,3pQ6Kt50YY8pnjwXK1z3Xm,Shower Song,tofusmell,0.515,0.347,6,-12.557,1,0.0295,0.633,0.629,0.225,0.332,170.013,spotify:track:3pQ6Kt50YY8pnjwXK1z3Xm,167506,4,sad
472,6WC0MIb3nGYkniBsh5DkPh,Capable,The Wild Reeds,0.413,0.603,0,-6.786,1,0.0371,0.175,0.000864,0.101,0.225,172.204,spotify:track:6WC0MIb3nGYkniBsh5DkPh,257173,4,sad
473,6wleKOJoHGaOPtJJWvJes6,Love More,Fiona Apple,0.605,0.442,8,-14.252,1,0.0623,0.29,0.0122,0.219,0.72,139.979,spotify:track:6wleKOJoHGaOPtJJWvJes6,272068,4,sad
474,6wEIUQhm6COBznfUTRGR1n,The King of All Birds,Aoife O'Donovan,0.468,0.62,9,-7.373,1,0.0339,0.333,0.0048,0.115,0.261,81.436,spotify:track:6wEIUQhm6COBznfUTRGR1n,236400,4,sad
475,57sW7XhinRtf8lL4GwzVGi,Robber,The Weather Station,0.712,0.616,7,-9.818,0,0.0379,0.721,0.308,0.0926,0.347,119.043,spotify:track:57sW7XhinRtf8lL4GwzVGi,320525,4,sad
476,2JMv10dhH1c63lwDF0wfud,Garden of Eden,Billie Marten,0.577,0.72,5,-8.08,1,0.0421,0.0496,0.00423,0.0977,0.465,150.085,spotify:track:2JMv10dhH1c63lwDF0wfud,199480,4,sad
477,6HahXy57PZHiHTFdSCrW7U,May,Humbird,0.408,0.338,2,-10.863,1,0.0281,0.8,5.79e-05,0.0998,0.0993,82.174,spotify:track:6HahXy57PZHiHTFdSCrW7U,238516,4,sad
478,1fw7XQl4AGxM8ppPAR6y2i,Drown,Marika Hackman,0.287,0.243,7,-15.119,1,0.0341,0.867,0.283,0.114,0.0383,117.886,spotify:track:1fw7XQl4AGxM8ppPAR6y2i,231671,4,sad
479,4rkUQKlWrCM6DiYRFqybdZ,Someone New,Helena Deland,0.535,0.763,1,-10.16,0,0.0788,0.578,0.573,0.103,0.166,148.027,spotify:track:4rkUQKlWrCM6DiYRFqybdZ,229502,4,sad
480,3RG5SUMbOTOEaQoOuCBSgG,Wild Parts,Maddie Medley,0.639,0.391,4,-9.705,1,0.0314,0.575,0.0423,0.134,0.34,111.781,spotify:track:3RG5SUMbOTOEaQoOuCBSgG,239980,4,sad
481,0Z68g80dKNa2Nrpa4Ir5yw,Sprinter,TORRES,0.496,0.512,1,-7.075,1,0.0292,0.0734,1.14e-05,0.143,0.184,90.002,spotify:track:0Z68g80dKNa2Nrpa4Ir5yw,284951,4,sad
